brand,model,year,transmission,fuel,nb_of_doors,price,miles,engine(hp)
FIAT,500 Sport,2012,Automatic,Gasoline,2,6000,59745,101
FIAT,500L Trekking,2014,Manual,Gasoline,4,8500,26098,160
FIAT,500 Lounge Convertible,2012,Automatic,Gasoline,2,6495,52530,101
FIAT,500 Sport,2012,Automatic,Gasoline,2,6500,45867,101
FIAT,500X Trekking,2016,Automatic,Gasoline,4,8500,71891,180
FIAT,124 Spider Classica RWD,2017,Automatic,Gasoline,2,13999,26806,160
FIAT,500 1957 Edition Convertible,2015,Automatic,Gasoline,2,9995,55253,101
FIAT,500 Sport,2012,Automatic,Gasoline,2,6999,50790,101
FIAT,500L Lounge,2017,Automatic,Gasoline,4,12950,24063,160
FIAT,500 Pop,2012,Automatic,Gasoline,2,4795,50322,101
FIAT,500 Lounge Convertible,2013,Automatic,Gasoline,2,9599,24066,101
FIAT,500 1957 Edition,2014,Automatic,Gasoline,2,7997,64577,101
FIAT,124 Spider Classica RWD,2017,Automatic,Gasoline,2,16990,15067,160
FIAT,500 Pop,2013,Manual,Gasoline,2,4399,78949,101
FIAT,500X Trekking AWD,2019,Automatic,Gasoline,4,16990,26028,177
FIAT,500X Lounge,2017,Automatic,Gasoline,4,15995,13337,180
FIAT,500 Lounge,2013,Automatic,Gasoline,2,5952,61205,101
FIAT,500X Easy,2016,Automatic,Gasoline,4,7495,68123,180
FIAT,500 Sport,2012,Manual,Gasoline,2,7992,31298,101
FIAT,500 Sport,2012,Automatic,Gasoline,2,6995,35676,101
FIAT,500 Pop,2016,Automatic,Gasoline,2,7299,45074,101
FIAT,500 Sport,2015,Automatic,Gasoline,2,7950,45167,101
FIAT,500 Pop,2014,Manual,Gasoline,2,6500,61035,101
FIAT,500 Pop Convertible,2012,Automatic,Gasoline,2,7495,40824,101
FIAT,500L Trekking,2014,Manual,Gasoline,4,7700,48156,160
FIAT,500 Pop Convertible,2015,Automatic,Gasoline,2,8687,50595,101
FIAT,500 Pop,2015,Automatic,Gasoline,2,4988,73943,101
FIAT,500 Abarth,2015,Automatic,Gasoline,2,9900,42422,160
FIAT,500X 120th Anniversary Edition AWD,2019,Automatic,Gasoline,4,15050,28903,177
FIAT,500 Abarth,2013,Manual,Gasoline,2,8995,50348,160
FIAT,500X Lounge AWD,2016,Automatic,Gasoline,4,7500,79654,180
FIAT,500 Pop,2012,Automatic,Gasoline,2,4495,90383,101
FIAT,500 Lounge Convertible,2013,Automatic,Gasoline,2,9950,35417,101
FIAT,500 Pop Convertible,2012,Manual,Gasoline,2,5495,55372,101
FIAT,500 Abarth,2013,Manual,Gasoline,2,9400,51355,160
FIAT,500 Pop,2013,Manual,Gasoline,2,4999,72224,101
FIAT,500 Abarth,2013,Manual,Gasoline,2,8995,46030,160
FIAT,500L Lounge,2014,Manual,Gasoline,4,5999,84548,160
FIAT,500L Easy,2015,Automatic,Gasoline,4,11498,30262,160
FIAT,124 Spider Elaborazione Abarth RWD,2017,Automatic,Gasoline,2,17925,21327,164
FIAT,500X Pop AWD,2017,Automatic,Gasoline,4,15763,27851,180
FIAT,500 Abarth,2013,Manual,Gasoline,2,10501,59193,160
FIAT,500 Pop Hatchback FWD,2017,Automatic,Gasoline,2,9995,26717,101
FIAT,500X Lounge AWD,2016,Automatic,Gasoline,4,8999,61734,180
FIAT,500 Lounge,2015,Automatic,Gasoline,2,6519,73375,101
FIAT,500 Pop Convertible,2012,Automatic,Gasoline,2,6990,41290,101
FIAT,500 Pop,2012,Manual,Gasoline,2,6550,31474,101
FIAT,500X Trekking AWD,2022,Automatic,Gasoline,4,21856,5348,177
FIAT,124 Spider Classica,2019,Automatic,Gasoline,2,21456,9598,160
FIAT,500 Lounge Convertible,2012,Automatic,Gasoline,2,7984,59594,101
FIAT,500 Pop,2012,Manual,Gasoline,2,5888,65273,101
FIAT,500X Trekking AWD,2019,Automatic,Gasoline,4,17649,17909,177
FIAT,500 Lounge,2012,Automatic,Gasoline,2,5995,74124,101
FIAT,500 Lounge Convertible,2016,Manual,Gasoline,2,15495,10110,101
FIAT,500 Abarth,2013,Manual,Gasoline,2,9999,33616,160
FIAT,500 Pop,2016,Automatic,Gasoline,2,7995,42709,101
FIAT,500 Sport,2012,Manual,Gasoline,2,6995,48762,101
FIAT,500 Pop Convertible,2012,Manual,Gasoline,2,8995,29759,101
FIAT,500 Pop,2013,Manual,Gasoline,2,6899,38913,101
FIAT,500X Trekking Plus AWD,2019,Automatic,Gasoline,4,16051,27875,177
FIAT,500 Lounge Convertible,2012,Automatic,Gasoline,2,6500,57166,101
FIAT,500 Sport,2012,Manual,Gasoline,2,6477,64368,101
FIAT,500 Sport,2012,Manual,Gasoline,2,5990,45413,101
FIAT,500X Sport AWD,2020,Automatic,Gasoline,4,17944,5503,177
FIAT,124 Spider Classica RWD,2017,Automatic,Gasoline,2,14575,43436,160
FIAT,500 Sport,2012,Manual,Gasoline,2,6997,49617,101
FIAT,500 Abarth,2013,Manual,Gasoline,2,10858,39491,160
FIAT,500 Sport,2014,Automatic,Gasoline,2,8495,40153,101
FIAT,500 Abarth,2013,Manual,Gasoline,2,7950,64669,160
FIAT,500L Trekking,2014,Manual,Gasoline,4,6995,67003,160
FIAT,500X Easy,2016,Automatic,Gasoline,4,8488,43164,180
FIAT,500 Sport,2015,Manual,Gasoline,2,7550,35279,101
FIAT,500 Sport,2015,Automatic,Gasoline,2,9295,23694,101
FIAT,500X Easy AWD,2016,Automatic,Gasoline,4,8300,76410,180
FIAT,124 Spider Lusso RWD,2017,Automatic,Gasoline,2,19900,5858,160
FIAT,500X Easy,2016,Automatic,Gasoline,4,6850,81889,180
FIAT,500 Abarth Convertible,2013,Automatic,Gasoline,2,11900,39927,160
FIAT,500 Sport,2015,Automatic,Gasoline,2,8449,45738,101
